"text_code","class_name","teacher_name",category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,text_length,"language","create_time"
"107-2_20449290_12","專題研究二","徐澔德",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"CH","2020-05-12 23:39:13"
"107-2_20449290_13","專題研究二","曾泰琳",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"CH","2020-05-12 23:39:13"
"107-2_20449290_14","專題研究二","李紅春",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"CH","2020-05-12 23:39:13"
"107-2_20449290_15","專題研究二","任昊佳",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"CH","2020-05-12 23:39:13"
"107-2_20449290_16","專題研究二","林日白",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"CH","2020-05-12 23:39:13"
"107-2_20449290_17","專題研究二","王  昱",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"CH","2020-05-12 23:39:13"
"107-2_20700110_03","服務學習一","連韻文",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,"CH","2020-05-12 23:39:13"
"107-2_20700220_01","服務學習二","雷庚玲",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,"CH","2020-05-12 23:39:13"
"107-2_20700220_02","服務學習二","姚開屏",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295,"CH","2020-05-12 23:39:13"
"107-2_20700220_03","服務學習二","賴文崧",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,"CH","2020-05-12 23:39:13"
"107-2_20700220_04","服務學習二","曹峰銘",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,"CH","2020-05-12 23:39:13"
"107-2_20700330_01","服務學習三","徐永豐",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"CH","2020-05-12 23:39:13"
"107-2_20700330_02","服務學習三","翁儷禎",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,"CH","2020-05-12 23:39:13"
"107-2_20700330_03","服務學習三","趙儀珊",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,"CH","2020-05-12 23:39:13"
"107-2_20710100_02","普通心理學","葉俊毅",0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378,"CH","2020-05-12 23:39:13"
"107-2_20710100_03","普通心理學","徐永豐",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151,"CH","2020-05-12 23:39:13"
"107-2_20710120","大一研討課","梁庚辰",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,"CH","2020-05-12 23:39:13"
"107-2_20712002","心理及教育統計學下","姚開屏",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234,"CH","2020-05-12 23:39:13"
"107-2_20714000","心與腦","梁庚辰",9.0,2.0,9.0,0.0,0.0,0.0,0.0,29.0,74.0,27.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,5709,"CH","2020-05-12 23:39:13"
"107-2_20721302","心理實驗法下","郭柏呈",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1784,"CH","2020-05-12 23:39:13"
"107-2_20730040","研究入門二","徐永豐",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424,"CH","2020-05-12 23:39:13"
"107-2_20734500","人類學習與認知","連韻文",4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231,"CH","2020-05-12 23:39:13"
"107-2_20736100","發展心理學","趙儀珊",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,"CH","2020-05-12 23:39:13"
"107-2_20737100","性格心理學","張仁和",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,"CH","2020-05-12 23:39:13"
"107-2_20800110_01","服務學習一","洪伯邑",4.0,2.0,0.0,0.0,0.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,"CH","2020-05-12 23:39:13"
"107-2_20800110_02","服務學習一","黃誌川",23.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,"CH","2020-05-12 23:39:13"
